participant,condition,is_old,hits,,,,,,,
1,sing,1,0.455284553,,,,,,,
2,sing,1,0.464,,,,,,,
3,sing,1,0.892561983,,,,,,,
4,sing,1,0.312,,,,,,,
5,sing,1,0.67768595,,,,,,,
6,sing,1,0.87704918,,,,,,,
7,sing,1,0.683333333,,,,,,,
8,sing,1,0.633333333,,,,,,,
9,sing,1,0.43442623,,,,,,,
10,sing,1,0.512195122,,,,,,,
11,sing,1,0.633333333,,,,,,,
12,sing,1,0.43442623,,,,,,,
13,sing,1,0.512195122,,,,,,,
14,sing,1,0.809917355,,,,,,,
15,sing,1,0.717741935,,,,,,,
16,sing,1,0.801652893,,,,,,,
17,sing,1,0.75,,,,,,,
18,sing,1,0.56557377,,,,,,,
19,sing,1,0.575,,,,,,,
20,sing,1,0.591666667,,,,,,,
1,sing,0,0.158333333,,,,,,,
2,sing,0,0.049586777,,,,,,,
3,sing,0,0.43902439,,,,,,,
4,sing,0,0.082644628,,,,,,,
5,sing,0,0.25203252,,,,,,,
6,sing,0,0.193548387,,,,,,,
7,sing,0,0.133333333,,,,,,,
8,sing,0,0.478991597,,,,,,,
9,sing,0,0.033333333,,,,,,,
10,sing,0,0.074380165,,,,,,,
11,sing,0,0.478991597,,,,,,,
12,sing,0,0.033333333,,,,,,,
13,sing,0,0.074380165,,,,,,,
14,sing,0,0.358333333,,,,,,,
15,sing,0,0.243902439,,,,,,,
16,sing,0,0.191666667,,,,,,,
17,sing,0,0.125,,,,,,,
18,sing,0,0.082644628,,,,,,,
19,sing,0,0.158333333,,,,,,,
20,sing,0,0.208333333,,,,,,,
21,speak,1,0.532258065,,,,,,,
22,speak,1,0.716666667,,,,,,,
23,speak,1,0.707317073,,,,,,,
24,speak,1,0.644628099,,,,,,,
25,speak,1,0.62601626,,,,,,,
26,speak,1,0.570247934,,,,,,,
27,speak,1,0.733333333,,,,,,,
28,speak,1,0.68852459,,,,,,,
29,speak,1,0.647540984,,,,,,,
30,speak,1,0.606557377,,,,,,,
31,speak,1,0.411764706,,,,,,,
32,speak,1,0.464566929,,,,,,,
33,speak,1,0.292682927,,,,,,,
34,speak,1,0.561983471,,,,,,,
35,speak,1,0.561983471,,,,,,,
36,speak,1,0.616666667,,,,,,,
37,speak,1,0.592,,,,,,,
38,speak,1,0.429752066,,,,,,,
39,speak,1,0.524590164,,,,,,,
40,speak,1,0.7,,,,,,,
21,speak,0,0.1,,,,,,,
22,speak,0,0.090163934,,,,,,,
23,speak,0,0.221311475,,,,,,,
24,speak,0,0.066666667,,,,,,,
25,speak,0,0.232,,,,,,,
26,speak,0,0.157024793,,,,,,,
27,speak,0,0.297520661,,,,,,,
28,speak,0,0.108333333,,,,,,,
29,speak,0,0.157024793,,,,,,,
30,speak,0,0.141666667,,,,,,,
31,speak,0,0.140495868,,,,,,,
32,speak,0,0.040983607,,,,,,,
33,speak,0,0.041666667,,,,,,,
34,speak,0,0.008403361,,,,,,,
35,speak,0,0.008403361,,,,,,,
36,speak,0,0.016666667,,,,,,,
37,speak,0,0.2,,,,,,,
38,speak,0,0.141666667,,,,,,,
39,speak,0,0.15,,,,,,,
40,speak,0,0.166666667,,,,,,,
41,read,1,0.636363636,,,,,,,
42,read,1,0.67768595,,,,,,,
43,read,1,0.677165354,,,,,,,
44,read,1,0.404958678,,,,,,,
45,read,1,0.247933884,,,,,,,
46,read,1,0.541666667,,,,,,,
47,read,1,0.475,,,,,,,
48,read,1,0.578512397,,,,,,,
49,read,1,0.578512397,,,,,,,
50,read,1,0.72,,,,,,,
51,read,1,0.583333333,,,,,,,
52,read,1,0.866666667,,,,,,,
53,read,1,0.546218487,,,,,,,
54,read,1,0.694214876,,,,,,,
55,read,1,0.469230769,,,,,,,
56,read,1,0.696721311,,,,,,,
57,read,1,0.776859504,,,,,,,
58,read,1,0.713114754,,,,,,,
59,read,1,0.495867769,,,,,,,
60,read,1,0.774193548,,,,,,,
41,read,0,0.142857143,,,,,,,
42,read,0,0.123966942,,,,,,,
43,read,0,0.447154472,,,,,,,
44,read,0,0.191666667,,,,,,,
45,read,0,0.033613445,,,,,,,
46,read,0,0.066666667,,,,,,,
47,read,0,0.116666667,,,,,,,
48,read,0,0.161016949,,,,,,,
49,read,0,0.12295082,,,,,,,
50,read,0,0.223140496,,,,,,,
51,read,0,0.116666667,,,,,,,
52,read,0,0.458333333,,,,,,,
53,read,0,0.420168067,,,,,,,
54,read,0,0.316666667,,,,,,,
55,read,0,0.058333333,,,,,,,
56,read,0,0.291666667,,,,,,,
57,read,0,0.091666667,,,,,,,
58,read,0,0.084033613,,,,,,,
59,read,0,0.158333333,,,,,,,
60,read,0,0.459016393,,,,,,,
