Proportion_SingHits,Proportion_SingFA,Proportion_AloudHits,Proportion_AloudFA,Proportion_SilentHits,Proportion_SilentFA
0.571428571,0.175,0.547619048,0.12195122,0.341463415,0.097560976
0.6,0.025,0.425,0.1,0.3,0.05
0.536585366,0,0.5,0.05,0.325,0.025641026
0.634146341,0.125,0.41025641,0.2,0.317073171,0.075
0.6,0.05,0.375,0.05,0.125,0.05
0.6,0.2,0.425,0.1,0.325,0.1
0.525,0.15,0.428571429,0.128205128,0.35,0.102564103
0.390243902,0.179487179,0.4,0.19047619,0.268292683,0.048780488
0.823529412,0.147058824,0.666666667,0.058823529,0.59375,0.242424242
0.425,0,0.25,0.025,0.179487179,0.05
0.487179487,0.075,0.35,0.075,0.35,0.075
0.69047619,0.05,0.575,0,0.414634146,0
0.8,0.375,0.675,0.15,0.45,0.225
0.525,0.275,0.56097561,0.275,0.4,0.275
0.775,0.175,0.65,0.125,0.41025641,0.3
0.475,0.195121951,0.5,0.292682927,0.5,0.195121951
