Proportion_SingHits,Proportion_SingFA,Proportion_AloudHits,Proportion_AloudFA,Proportion_SilentHits,Proportion_SilentFA
0.9,0.179487179,0.8,0.125,0.675,0.2
0.55,0.325,0.675,0.25,0.45,0.375
0.87804878,0.205128205,0.714285714,0.146341463,0.575,0.219512195
0.8,0.15,0.58974359,0.125,0.475,0.175
0.613636364,0.05,0.375,0.051282051,0.384615385,0.1
0.75,0.1,0.525,0.15,0.384615385,0.125
0.69047619,0.243902439,0.58974359,0.170731707,0.625,0.195121951
0.536585366,0.146341463,0.487804878,0.12195122,0.5,0.12195122
0.609756098,0.214285714,0.634146341,0.073170732,0.292682927,0.075
0.6,0.179487179,0.575,0.125,0.375,0.075
0.375,0.1,0.333333333,0.05,0.15,0.1
0.30952381,0.025,0.1,0.05,0.219512195,0.073170732
0.567567568,0.075,0.375,0.225,0.5,0.195121951
0.725,0.2,0.625,0.333333333,0.725,0.275
0.538461538,0.225,0.585365854,0.275,0.317073171,0.30952381
